match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1247013,2021,21/02/2021,Karachi,"National Stadium, Karachi",Multan Sultans,Islamabad United,Islamabad United,field,Islamabad United,wickets,3,L Gregory,Ahsan Raza,RK Illingworth,Aleem Dar,RS Mahanama
1247014,2021,22/02/2021,Karachi,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,9,Fakhar Zaman,Aleem Dar,Asif Yaqoob,Rashid Riaz,Ali Naqvi
1247015,2021,23/02/2021,Karachi,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,6,T Kohler-Cadmore,Aleem Dar,RK Illingworth,Asif Yaqoob,RS Mahanama
1247016,2021,24/02/2021,Karachi,"National Stadium, Karachi",Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,wickets,5,AD Hales,Aleem Dar,Rashid Riaz,RK Illingworth,Ali Naqvi
1247017,2021,26/02/2021,Karachi,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,7,Mohammad Rizwan,Ahsan Raza,Faisal Afridi,Shozab Raza,RS Mahanama
1247018,2021,26/02/2021,Karachi,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,3,Haider Ali,Asif Yaqoob,RK Illingworth,Rashid Riaz,Iftikhar Ahmed
1247019,2021,27/02/2021,Karachi,"National Stadium, Karachi",Multan Sultans,Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,7,Babar Azam,Rashid Riaz,RK Illingworth,Ahsan Raza,RS Mahanama
1247020,2021,27/02/2021,Karachi,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,6,Wahab Riaz,Asif Yaqoob,Shozab Raza,Zameer Haider,Ali Naqvi
1247021,2021,28/02/2021,Karachi,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,6,Shaheen Shah Afridi,Ahsan Raza,RK Illingworth,Rashid Riaz,RS Mahanama
1247022,2021,02/03/2021,Karachi,"National Stadium, Karachi",Quetta Gladiators,Islamabad United,Islamabad United,field,Islamabad United,wickets,6,Faheem Ashraf,Ahsan Raza,Shozab Raza,Asif Yaqoob,Ali Naqvi
1247023,2021,03/03/2021,Karachi,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,6,Mohammad Nabi,Imran Javed,Rashid Riaz,Ahsan Raza,Iftikhar Ahmed
1247024,2021,03/03/2021,Karachi,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans,Multan Sultans,field,Quetta Gladiators,runs,22,Qais Ahmad,Asif Yaqoob,Faisal Afridi,RK Illingworth,RS Mahanama
1247025,2021,10/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,runs,12,RR Rossouw,Aleem Dar,Shozab Raza,Rashid Riaz,Ali Naqvi
1247026,2021,10/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,runs,10,Rashid Khan,Asif Yaqoob,Rashid Riaz,Ahsan Raza,Ali Naqvi
1247027,2021,09/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,5,Rashid Khan,Aleem Dar,Rashid Riaz,Shozab Raza,Mohammad Anees
1247028,2021,11/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United,Islamabad United,field,Islamabad United,wickets,10,C Munro,Aleem Dar,Shozab Raza,Rashid Riaz,Muhammad Javed
1247029,2021,13/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars,Islamabad United,bat,Islamabad United,runs,28,Asif Ali,Asif Yaqoob,Shozab Raza,Ahsan Raza,
1247030,2021,12/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,runs,61,DA Miller,Ahsan Raza,Shozab Raza,Aleem Dar,Mohammed Anees
1247031,2021,13/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,8,Shahnawaz Dhani,Ahsan Raza,Aleem Dar,Asif Yaqoob,
1247032,2021,14/06/2021,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,wickets,8,Iftikhar Ahmed,Asif Yaqoob,Rashid Riaz,Shozab Raza,Ali Naqvi
